Country,CountryID,Continent,Population_growth,Total_fertility_rate_(per_woman),Population_in_1k,Pop_annual_growth_rate,Pop_proportion_over_60(%),Pop_proportion_under_15(%),Income_per_person,No._of_physicians,Per_capita_expense_on_health($),Adult_mortality_rate(15_to_60_yrs_per_1000),Adult_mortality_rate(15_to_60_yrs_per_1000)female,Adult_mortality_rate_(15_to_60_yrs_per_1000)male,Deaths_due_to_tuberculosis(per_100k),Tuberculosis_Incidence(per_100k_per_yr),Infant_mortality_rate_(per_1000),Life_expectancy_at_birth_(years),Diarrhoeal_death(%)under_5_yrs,Malaria_Death(%)under_5_yrs,Measels_death(%)under_5_yrs,Pneumonia_death(%)under_5_yrs
Kazakhstan,86,2,0.89,2.2,15314,0.7,10,24,8699,57514,330,315,191,436,17,130,26,64,14.5,0.8,0.1,16.9
Kenya,87,3,2.63,5,36553,2.6,4,43,1359,4506,105,416,404,432,26,384,79,53,16.5,13.6,3.2,19.9
Kiribati,88,6,1.21,4.2,94,1.7,6,32,3377,20,290,247,177,311,45,372,47,65,21.9,0.7,2.6,11.5
"Korea, Dem. Rep.",89,6,0.43,1.9,23708,0.4,14,24,1596.68,74597,49,200,166,233,14,178,42,66,18.9,0.7,0.8,15.2
"Korea, Rep.",90,6,0.44,1.2,48050,0.4,14,18,21342,75045,1487,84,47,119,10,88,5,79,0.4,0,0.2,1.8
Kuwait,91,1,3.04,2.2,2779,2.9,3,24,44947,4840,535,62,52,68,2,24,9,78,0.7,0,0,4.4
Kyrgyzstan,92,2,0.99,2.5,5259,1.1,7,30,1728,12710,127,236,164,309,18,123,36,66,14.1,0.9,0.1,16.7
Lao People's Democratic Republic,93,6,1.61,3.3,5759,1.7,5,39,1811,2000,85,308,294,324,23,152,59,60,15.6,0.7,5.9,19.1
Latvia,94,2,-0.53,1.3,2289,-0.6,22,14,13218,7200,974,223,123,323,8,57,8,71,0,0,0,1.2
Lebanon,95,3,1.15,2.2,4055,1.1,10,28,10212,8440,608,162,133,193,1,11,27,70,1,0,0,1.1
Lesotho,96,3,0.76,3.5,1995,0.7,7,40,1415,89,143,722,663,798,42,635,102,42,3.9,0,0.1,4.7
Liberia,97,3,2.75,6.8,3579,3.9,4,47,383,103,39,457,415,498,63,331,157,44,17.3,18.9,6,23
Libyan Arab Jamahiriya,98,1,2.03,2.8,6039,2,6,30,10804,7070,270,146,107,176,1,18,17,72,8.4,0,0.1,8.5
Lithuania,99,2,-0.62,1.3,3408,-0.5,21,16,14085,13510,1041,223,113,333,7,62,7,71,0.3,0,0,5.3
Luxembourg,100,2,0.75,1.7,461,1,19,18,70014,1255,5773,83,55,109,1,12,3,80,0,0,0,1.1
Macedonia,101,2,0.16,1.5,2036,0.1,16,19,7393,5187,623,121,80,160,5,29,15,73,5,0,0,4.3
Madagascar,102,3,2.76,4.9,19159,2.7,5,44,988,5201,34,268,232,303,45,248,72,59,16.9,20.1,5,20.7
Malawi,103,3,2.54,5.7,13571,2.6,5,47,691,266,70,533,514,554,21,377,76,50,18.1,14.1,0.3,22.6
Malaysia,104,6,1.82,2.7,26114,1.8,7,31,11466,17020,500,155,109,197,14,103,10,72,5.4,0.1,0.9,4
Maldives,105,7,1.61,2.6,300,1.7,6,33,4017,302,882,103,90,115,4,45,26,72,20.3,0.6,0.1,17.5
Mali,106,3,3.03,6.6,11968,3,5,48,1027,1053,65,427,393,472,63,280,119,46,18.3,16.9,6.1,23.9
Malta,107,1,0.55,1.4,405,0.5,19,17,20410,1564,1825,62,47,75,1,6,5,79,0,0,0,0
Mauritania,109,3,2.77,4.5,3044,2.7,5,40,1691,313,45,288,243,335,67,316,78,58,16.2,12.2,1.7,22.3
Mauritius,110,3,0.8,1.9,1252,0.8,10,24,10155,1303,581,161,108,212,3,23,12,73,1.2,0,0,3.9
Mexico,111,4,1.01,2.3,105342,1,9,30,11317,195897,756,122,89,155,2,21,29,74,5.1,0,0,8.5
Moldova,113,2,-1.24,1.4,3833,-1.1,15,19,2362,11153,190,237,151,325,19,141,16,68,2,0,0,15.5
Mongolia,114,6,1.55,1.9,2605,0.9,6,28,2643,6732,149,255,182,325,15,188,35,66,14.5,1,0.3,17.1
Morocco,115,1,1.01,2.4,30853,1.2,8,30,3547,15991,273,119,90,147,8,93,34,72,12.2,0.4,0.2,14
Mozambique,116,3,2.24,5.2,20971,2.1,5,44,743,514,56,477,453,505,63,443,96,50,16.5,18.9,0.3,21.2
Myanmar,117,6,0.84,2.1,48379,0.9,8,27,831,17791,43,276,225,327,12,171,74,60,21.1,9,2.4,19.3
Namibia,118,3,1.29,3.3,2047,1.3,5,38,4547,598,338,336,311,367,54,767,45,61,2.5,0,0.1,3
Nepal,120,7,2.01,3.4,27641,2,6,38,1081,5384,78,286,280,292,22,176,46,62,20.5,0.8,2.7,18.5
Netherlands,121,2,0.23,1.7,16379,0.3,20,18,34724,60519,3383,70,59,81,1,8,4,80,0,0,0,1.1
New Zealand,122,6,1.13,2,4140,1,17,21,24554,8190,2447,75,59,91,1,9,5,80,0.2,0,0,2.7
Nicaragua,123,5,1.27,2.8,5532,1.3,6,37,2611,2045,251,181,138,224,7,58,29,71,12.2,0.4,0,13.7
Niger,124,3,3.5,7.3,13737,3.5,5,48,613,296,27,478,439,507,35,174,148,42,19.8,14.3,7.3,25.1
Nigeria,125,3,2.4,5.5,144720,2.4,5,44,1892,34923,50,423,399,447,67,311,99,48,15.7,24.1,6.3,20.1
Norway,126,2,0.68,1.8,4669,0.6,20,19,47551,17523,4521,70,53,86,1,6,3,80,0.3,0,0,1.4
Oman,127,1,1.14,3.1,2546,1.6,4,33,20334,4290,382,133,90,160,1,13,10,74,8.1,0.1,0,7.2
Pakistan,128,7,2.41,3.6,160943,1.8,6,36,2396,126350,51,206,194,218,34,181,78,63,14,0.7,2.4,19.3
Panama,130,5,1.75,2.6,3288,1.7,9,30,8399,4431,721,108,81,134,3,45,18,76,10.7,0.2,0,10.8
Papua New Guinea,131,6,2.24,4,6202,2.2,4,40,1747,275,134,273,243,303,46,250,54,62,15.3,0.8,2.1,18.5
Paraguay,132,5,1.89,3.2,6016,1.9,7,35,3900,6355,342,132,101,162,11,71,19,75,10.7,0.3,0.1,11.9
Peru,133,5,1.16,2.5,27589,1.1,8,31,6466,29799,300,136,118,153,16,162,21,73,12.2,0.4,0,13.6
Philippines,134,6,2.03,3.3,86264,2,6,36,2932,90370,223,219,157,277,45,287,24,68,12,0.4,1.2,13.4
Poland,135,2,-0.04,1.2,38140,-0.1,17,16,13573,76046,910,145,79,209,3,25,6,75,0.1,0,0,2.7
Portugal,136,2,0.45,1.5,10579,0.5,22,16,20006,36138,2080,93,53,133,3,32,3,79,0.1,0.1,0,1.8
Qatar,137,1,4.09,2.7,821,3.1,3,21,68696,2150,1426,67,64,72,7,60,9,77,8.4,0,0,7.7
Romania,138,2,-0.23,1.3,21532,-0.4,19,15,9374,41455,610,157,95,218,17,128,14,73,2.5,0,0,27.1
Russia,139,2,-0.49,1.3,143221,-0.5,17,15,11861,614183,638,300,158,432,16,107,10,66,2.5,0,0,6.3
Rwanda,140,3,1.99,6,9464,2.5,4,43,813,432,210,385,360,414,54,397,97,52,18.5,4.6,1.6,23.2
Saint Kitts and Nevis,141,5,2.14,2.3,50,1.3,11,28,13677,46,654,165,142,188,2,11,17,71,14.4,0,0,0
Saint Lucia,142,5,1.44,2.2,163,1.1,10,27,9279,749,421,154,104,202,2,17,12,75,1.3,0,0,1.3
Saint Vincent and the Grenadines,143,5,0.54,2.2,120,0.5,9,29,6752,89,461,238,167,301,5,30,17,70,0.5,0,0,10.5
Samoa,144,6,0.73,4.1,185,0.8,7,40,4872,50,232,220,203,235,3,19,23,68,9.7,0.1,0.1,10.2
Sao Tome and Principe,145,3,1.65,4,155,1.6,6,41,1460,81,141,241,210,275,26,103,63,61,16,0.6,4.8,21.2
Saudi Arabia,146,1,2.58,3.5,24175,2.4,4,34,21220,34261,607,178,136,205,5,44,21,70,6.2,0.2,0,6.6
Senegal,147,3,2.56,4.9,12072,2.5,6,42,1676,594,72,271,236,307,55,270,60,59,17.1,27.6,8.1,20.7
Seychelles,148,3,0.48,1.7,86,0.7,10,24,14202,121,812,174,104,241,5,33,12,72,0,0,0,10.1
Sierra Leone,149,3,3.57,6.5,5743,2.8,5,43,790,168,41,508,460,556,107,517,159,40,19.7,12.4,5.3,25.5
Singapore,150,6,2.41,1.3,4382,1.3,13,19,41479,6380,1228,67,50,83,2,26,3,80,0.4,0,0,9
Slovakia,151,2,0.08,1.2,5388,0,16,16,15881,16868,1235,136,76,196,2,15,7,74,1.4,0,0,9.4
Slovenia,152,2,0.18,1.3,2001,0.1,21,14,23004,4723,2065,104,56,148,2,13,3,78,0,0,0,0
Solomon Islands,153,6,2.48,4,484,2.4,5,40,1712,60,107,164,139,188,23,135,55,67,8.8,0.1,0.5,9.5
Somalia,154,3,3,6.2,8445,3,4,44,932.96,310,18,323,288,358,40,218,90,55,18.7,4.5,6.8,23.9
South Africa,155,3,1.17,2.7,48282,0.7,7,32,8477,34829,869,564,531,598,84,940,56,51,0.8,0,0,0.9
Spain,156,2,1.64,1.4,43887,1.1,22,14,27270,135300,2388,75,44,105,3,30,4,81,0.1,0,0,1.3
Sri Lanka,157,7,1.05,1.9,19207,0.5,10,24,3481,10479,213,166,95,234,8,60,11,72,13.5,0.4,1.7,8.5
Sudan,158,3,2.07,4.4,37707,2.2,6,40,2249,11083,61,296,261,329,62,242,62,60,12.9,21.2,5.4,15.5
Suriname,159,5,0.64,2.5,455,0.6,9,29,7234,191,361,222,172,270,11,64,29,68,13.1,2.4,0.3,11.5
Swaziland,160,3,0.99,3.6,1134,0.8,5,39,4384,171,353,662,643,690,94,1155,112,42,9.6,0.2,0.2,11.8
Sweden,161,2,0.36,1.8,9078,0.4,24,17,31995,29190,3119,64,49,78,1,6,3,81,0,0,0,0.8
Switzerland,162,2,0.64,1.4,7455,0.4,21,16,35520,28812,4312,63,47,80,1,7,4,82,0.2,0,0,0.7
Syria,163,1,2.71,3.2,19408,2.7,5,36,4059,10342,109,153,122,182,3,32,12,72,9.6,0.2,0,9.9
Tajikistan,164,2,1.27,3.5,6640,1.4,5,39,1413,13267,71,200,177,225,39,204,56,64,16.4,0.8,0.2,19.9
Tanzania,165,3,2.55,5.3,39459,2.5,5,44,1018,822,45,504,493,518,47,312,74,50,16.8,22.7,1.3,21.1
Thailand,166,6,0.7,1.8,63444,0.7,12,21,6869,22435,346,210,155,264,16,142,7,72,16.2,0.3,0.1,11.5
Togo,168,3,2.73,5,6410,2.7,5,43,888,225,70,336,301,371,84,389,69,57,13.8,25.3,6.6,17.1
Tonga,169,6,0.37,3.8,100,0.5,9,37,5135,30,289,165,208,114,3,25,20,71,10,1.3,1.8,7.3
Trinidad and Tobago,170,5,0.35,1.6,1328,0.4,10,22,15352,1004,811,199,140,257,1,8,33,69,1.3,0,0,2
Tunisia,171,1,0.97,1.9,10215,1.1,9,25,6461,13330,488,136,106,165,3,25,19,72,7,0.2,0,7.6
Turkey,172,2,1.28,2.2,73922,1.3,8,28,7786,116014,645,123,91,153,5,29,24,73,12.2,0.5,0.3,14
Turkmenistan,173,2,1.4,2.6,4899,1.4,6,31,4247,12210,259,291,211,369,9,65,45,63,15.6,0.9,0.1,18.8
Uganda,175,3,3.23,6.6,29899,3.2,4,49,991,2209,143,495,474,518,60,355,78,50,17.2,23.1,3,21.1
Ukraine,176,2,-0.73,1.2,46557,-0.8,21,14,5583,143728,542,264,142,384,13,106,20,67,1.2,0,0,6.3
United Arab Emirates,177,1,3.9,2.3,4248,3.5,2,20,33487,4960,673,78,62,84,2,16,8,78,6.3,0,0,4.7
United Kingdom,178,2,0.65,1.8,60512,0.4,22,18,31580,133641,2784,80,61,98,1,15,5,79,0.9,0,0,2.2
United States of America,179,4,0.97,2.1,302841,1,17,21,41674,730801,6714,109,80,137,0,4,7,78,0.1,0,0,1.3
Uruguay,180,5,0.12,2.1,3331,0.2,18,24,9266,12384,989,125,88,164,3,27,13,75,2.3,0,0,5.4
Uzbekistan,181,2,1.16,2.6,26981,1.4,6,32,1975,70564,177,185,142,229,17,121,38,68,14.8,0.8,0.1,16.8
Vanuatu,182,6,2.56,3.9,221,2.5,5,39,3477,30,139,187,166,207,8,58,30,69,11.5,0.6,0.3,13
Venezuela,183,5,1.71,2.6,27191,1.7,8,31,9876,48000,396,142,95,187,5,41,18,74,9.9,0,0,5.9
Vietnam,184,6,1.3,2.2,86206,1.4,8,29,2142,44960,264,155,116,194,21,173,15,72,10.4,0.4,3.4,11.5
Yemen,185,1,2.97,5.6,21732,3,4,45,2276,6739,82,250,217,282,10,78,75,61,16.1,7.5,2.2,19.8
Zambia,186,3,1.83,5.3,11696,1.9,5,46,1175,1264,62,617,597,644,56,553,102,43,17.5,19.4,1.2,21.8
Zimbabwe,187,3,0.72,3.3,13228,0.8,5,39,538,2086,147,751,755,755,59,557,55,43,12.1,0.2,2.9,14.7
